DUX4,HSV1
-1.15686884861687,-2.44349007476828
-4.79441586635011,-1.79441586635011
0,-3.05889368905357
-0.431060761409004,-1.99877478120798
3.07007123836505,-3.58496250072116
-0.342212366341717,-1.43107229773184
0.416428623470414,-2.60095706633042
0,-3.47393118833241
-0.426142745734129,-2.09480232650943
-1.62678267641578,-2.8073549220576
7.80759728997769,5.38528258123117
7.29693063217079,4.74983781188069
-0.682215959522185,-2.19937847502888
-0.329421189754909,-1.28962964580896
-2.39592867633114,-4.05889368905357
-1.40571170700675,-2.36176835941915
-5.64385618977472,-2.73696559416621
-1.46566357234881,-2.15754127698648
-0.634435304826925,-3.11831996718876
-0.0371563917604528,-2.66478725498675
0.502258903368866,-2.046609867642
-1.98994633533608,0.197680667839694
-0.287510497830001,-2.83671530154896
-1.95419631038688,-0.852658283924813
0,-4.05889368905357
0,-4.05889368905357
-1.14183922333996,-5.51993253265632
-1.37022365192814,-2.28095631383106
-0.0142920875690346,-1.98272200856816
0,-2.47393118833241
-0.0981998345754851,-2.27322299421765
-0.337144877595702,-3.38087978056577
-0.138287100328022,-1.41983268285935
-0.979121270324084,-0.308322600123624
0,-3.47393118833241
-1.17799830197799,-2.44980291743952
-0.51202311464769,-2.11622183423176
-0.0434502560333977,-0.804839324138821
0.5327621857489,1.89762108234599
-2,-3.28950661719499
0,-5.05889368905357
-0.282351932831343,-2.47722641766962
0.295743863248373,-1.91922139751924
-1.97628393102619,-1.54564957669633
0.201745210563069,-3.96905732210441
-2.16992500144231,-1.45720695352278
-5.64385618977472,-4.05889368905357
-1.82888808360725,1.14718607714727
-0.00227595891283999,-1.49987868790717
-0.519778331961019,-2.50250034052918
1.06607512588118,-0.960038741992302
-5.64385618977472,-5.05889368905357
-0.580786824749963,-5.09060254878091
-5.64385618977472,0
-4.68650052718322,-3.51657552574091
-1.73498794472576,0.284640862023169
-1.93643487122253,-0.436863861732023
0.293040753155573,-1.98568659651469
0.0133849406568199,-1.09323747887697
0.035704061681679,-2.80079720603544
-0.352289351719603,-3.25756986555981
0,-1.46631800422254
-0.746758686659947,-2.23039999993781
-1.18754054435928,-2.07506581510087
0.369286633386168,0.932105800315754
-0.701706430707415,-4.15409477234059
-1.07989573270507,-5.05514512097761
-0.169872494935259,-3.59613724963736
-1.95935801550265,-3.54432051622381
0,-5.05889368905357
-0.342232191342451,-0.973364873496534
-0.832355939808926,-0.709871933283931
0,-4.05889368905357
0,-5.05889368905357
0,-3.47393118833241
0,0
-3.71424551766612,1.50975615653198
-0.476817628991473,-3.15607201724194
0.477452902080495,-2.28245862375179
-3.51096191927738,-0.475338009546658
0.0559770859830797,-1.29580184763554
-5.64385618977472,-1.94341647163363
0,-2.73696559416621
-5.64385618977472,1.81557542886257
-0.541260794036602,-3.58672081299352
-5.75488750216347,-4.16992500144231
-5.64385618977472,0
-5.64385618977472,0
-0.909968232435428,-3.19040301911962
0.224333853682813,-3.00711272619457
-1.91178555933652,-3.5485869915773
0.110890876776749,-2.26614685391812
-2.06817150264158,-1.02236781302845
0,0
-0.321928094887362,-3.07681559705083
-5.68650052718322,-1.68650052718322
-2.15055967657538,-2.40209844357135
0,0
0.483876375606842,-3.24792751344359
0.207349967098047,0.0379833091089626
0.0638144508205499,-3.23944351327567
0.155104085167483,-1.54415411453913
-0.0630693650247618,-2.5810760772486
-1.16285337551037,-3.2716359403563
-0.110987261304302,-2.69001517923964
-3.85798099512757,-1.61005348168399
-0.0139391909578737,-3
-1.47999294111961,-0.669026765509631
0.419403840652464,-2.73468585435937
0.434402824145775,-1.69678886412814
-1.71234180719738,-4.56478461878353
0.0472245369751243,-2.4175561376049
0,-3.47393118833241
-3.32192809488736,-2.47393118833241
