gene_name,log2FoldChange.KO_Inf_8h_KO_Mock_8h,padj.KO_Inf_8h_KO_Mock_8h,diff.KO_Inf_8h_KO_Mock_8h,log2FoldChange.WT_Inf_8h_WT_Mock_8h,padj.WT_Inf_8h_WT_Mock_8h,diff.WT_Inf_8h_WT_Mock_8h,mean_KO_Inf_8h,mean_KO_Mock_8h,mean_WT_Inf_8h,mean_WT_Mock_8h
SCNN1D,-0.482075358692615,0.197272143678619,No,-0.339306348295101,0.391259630523485,No,24.6896390367236,37.9959726321152,30.43979831314,41.2311042808219
ACAP3,-0.321221089198864,0.0080412703915411,No,-0.314353314893856,0.0121429324493121,No,576.99612328353,725.404512304421,584.144952939687,726.978587755336
PUSL1,-0.599128821545408,1.57951491939281e-07,No,-0.613012134583273,2.06146576315559e-07,No,409.722569936557,626.403762196637,428.977187490533,665.68464708913
DVL1,-0.128513661615445,0.0623746023193825,No,-0.244046159370968,0.000226908844081486,No,1803.66405409741,1973.05362586553,1791.73578500147,2128.96303207716
MXRA8,0.47160213233228,0.0131338391418646,No,0.917374475836396,6.55565894053562e-06,No,315.400675530186,223.914499128542,191.652366613877,96.8909583625065
AURKAIP1,-0.404795651103763,5.07935462436468e-09,No,-0.39766608840547,1.96326484546225e-08,No,2437.85197592171,3233.67973670397,2422.59099440971,3199.8123076793
CCNL2,0.453015312414243,2.18830177247643e-15,No,0.414097195534755,5.58179906092055e-12,No,4356.24213288882,3179.08227995218,3367.12222875748,2523.39755810359
MRPL20,-0.438296326813877,3.26222120096508e-08,No,-0.499580214829642,3.47573833563656e-10,No,1867.66196670725,2538.59039972389,1962.53196349637,2786.80660342252
ANKRD65,-0.539959080920973,0.235653942579722,No,-0.424123302877232,0.369744990455449,No,8.49994170563273,16.7792465300025,2.59420320560488,6.82504988396562
TMEM88B,0.582919459543422,0.137042172074653,No,0.272082839873891,0.571687347794318,No,48.0931341587854,28.975215509228,12.5231136061052,8.58522884948087
VWA1,-0.298447420833604,1.1208045823948e-06,No,-0.420536098987561,7.93816282846308e-11,No,1960.12734273548,2412.81188813595,1498.20920550519,2011.02231625753
ATAD3C,0.304832868745206,0.407310027134802,No,0.772676906174386,0.0219561313439887,No,76.3839307881614,59.433568273479,63.8382318006287,32.2134251964142
ATAD3B,-0.0325163266312058,0.596652455182106,No,0.147134940479764,0.00390309201997412,No,5440.30009017621,5565.46694828934,4702.79826934221,4240.60880268276
ATAD3A,-0.195966971801653,3.30149022934393e-05,No,-0.0645785537234478,0.258309993024078,No,3806.40142615783,4362.71793444723,3504.81109092536,3663.19572604464
TMEM240,-0.975776604135861,0.0204059051331773,No,-1.03568617881986,0.0122166957872457,Down,3.96361098124922,16.4904166921662,1.60947112000141,13.4107116525569
SSU72,-0.738816211925188,5.80577628093644e-19,No,-0.875827697902753,1.49541065771125e-24,No,1589.91056836617,2669.6636675449,1256.26976419358,2325.29586051547
MIB2,0.463400551556786,0.00105221714452812,No,0.213437422723824,0.211412155730123,No,462.012102219002,331.650941086687,337.504004747872,288.452511807865
CDK11B,0.924426679331839,8.79709667351501e-60,No,1.20288370631443,1.4291988266199e-93,Up,4343.83602257297,2280.40542737747,4266.54270854223,1844.83414208976
SLC35E2B,-1.03261459816013,3.76813418727902e-36,Down,-1.13974141680286,2.73754905065568e-39,Down,602.76921890215,1243.94039978146,541.669145939105,1204.71422094349
CDK11A,1.14606272914454,2.35385206444592e-30,Up,1.25471300801942,1.54846478337517e-33,Up,1660.5562436181,739.880443123685,1479.82514654607,609.495939633695
NADK,-0.68204566667239,1.53580411132325e-23,No,-0.754752841463029,8.57401226461338e-26,No,1321.85934502642,2129.19131827645,1103.28542258637,1872.83133605583
GNB1,-0.737819663071106,2.3789095855641e-58,No,-0.80189275294105,1.75643476750975e-66,No,6769.62346981688,11311.6344037687,6210.3128780525,10847.8081354283
TMEM52,-0.548652919552495,0.0316218330428435,No,-0.244035573385676,0.445808380160686,No,77.2559534995583,117.296070192398,54.3883996483227,64.9630256025115
PRKCZ,0.116566797844907,0.375316359540226,No,0.05273962331424,0.720155039691143,No,491.010456839855,452.127591143368,555.443557846386,534.680139064012
SKI,0.848245102877895,5.91108911990728e-37,No,0.816085942333426,1.89492699652901e-31,No,3213.79293448537,1777.27825900383,2655.55547078271,1502.5935476234
MORN1,-0.253476530156283,0.428579329514127,No,-0.891293662718086,0.000994648151989919,No,55.0779323360051,67.2098123334941,47.7758354657173,96.153252029828
RER1,-0.46384668713725,9.39825713156897e-11,No,-0.555863420312358,9.91710093109777e-15,No,1439.45516940637,1990.29752128596,1599.98789904608,2361.73706968405
PEX10,-0.615655575362609,8.40765024113161e-07,No,-0.627653037577953,1.11921273446606e-06,No,543.733097438865,842.502088934404,509.912626682999,796.644096089834
PANK4,-0.543205115161234,3.5627441787896e-09,No,-0.432611247413676,1.08696770929417e-05,No,587.240827612062,860.428217002425,578.78403077448,785.59953866732
PRDM16,-0.175332742007414,0.748102476870515,No,-0.306829107620924,0.303689440947984,No,0,0.49244493918075,121.862458354736,153.354583347534
ARHGEF16,-0.0128750872758177,0.971970480498204,No,0.356007042337951,0.127257746040915,No,212.174094755865,215.195128943962,209.964405312587,161.448748589968
MEGF6,-0.431720952369546,0.185193631058149,No,-0.222162035217958,0.566893009663722,No,47.0662442382054,66.9481070678986,33.3820700936503,40.5359290085236
TPRG1L,0.76777614168986,5.45231440328442e-14,No,0.812307674597172,8.23066613600459e-14,No,694.958112862645,405.040925331602,632.06145262809,356.676461444925
WRAP73,-0.285955738454787,0.00972503477982888,No,0.118201899009492,0.351088143977568,No,551.994869788422,675.239160997651,741.65880176156,679.600486986372
TP73,-0.389937756936286,0.017057063030106,No,-0.256608243055868,0.0974894899101341,No,151.358135869086,200.704222976645,339.652575894557,408.01536999145
TP73-AS1,-0.755854374851352,2.27160192687408e-19,No,-0.816365686352405,5.28462641884789e-22,No,721.217391157333,1226.04435824744,829.387564674883,1474.13187682312
LRRC47,-0.140476876840215,0.0371107778912791,No,-0.0983770828280865,0.188697867080092,No,1665.1014896195,1835.91079768863,1580.2615070538,1695.37655030907
CEP104,-0.26970652612596,0.0132364751450223,No,-0.0787820996638414,0.548091385699472,No,625.726434476489,755.860143610208,735.436473237582,776.017324571843
DFFB,-0.165003236664923,0.397911365061289,No,-0.587673464905298,0.000550425661242436,No,222.118024844318,249.913514952403,184.4593145529,282.278607480642
C1orf174,0.0169885085773811,0.922865025715845,No,-0.0420740234540594,0.780930436438747,No,536.777150865051,529.84676825524,535.24477981017,551.81205789063
NPHP4,-0.0190001295215129,0.945306858471853,No,-0.059668778254584,0.804229876124281,No,223.107665524244,226.20260116663,201.41321210314,210.480263339559
KCNAB2,0.470378604616375,0.304260551973439,No,-0.248340254843008,0.621108213623622,No,16.286916273085,9.252597730023,8.31162168127117,11.651068586947
CHD5,0.106590043265782,0.858439161024561,No,0.0222593625938699,0.971858974305303,No,7.41606937187025,6.1532172751676,12.047571076761,11.8662230576665
RPL22,-0.0832307789354343,0.231367176516112,No,-0.141420668393179,0.0292480327647071,No,10024.5554596488,10622.8827670961,8088.30453303408,8928.24988332907
RNF207,-0.481496310753105,0.015812720078518,No,-0.395887318875717,0.0569313362650173,No,150.272301612042,214.663348107975,175.306799543702,233.47052151815
ICMT,-0.452523405854932,1.66281884111217e-11,No,-0.541142428966947,1.12392697270377e-15,No,2692.60016449427,3692.488623222,2924.22887637141,4264.34786202143
GPR153,-0.965815933581534,0.00195953076792692,No,-1.21265304728993,3.72410215975976e-05,Down,23.434367827628,53.9697950814145,41.9459228065128,111.145736648467
ACOT7,-0.50269592541829,1.39037692357625e-18,No,-0.528104408080746,5.61032178664374e-19,No,1943.46965982475,2759.76387350984,1840.63928836797,2661.02970709001
HES2,1.36380322091997,3.77210854858019e-06,Up,0.781313101675187,0.0159913956308942,No,76.9485610827833,24.4945480830005,54.3568124741363,28.0107281646281
ESPN,-0.399171492418679,7.83138865493245e-07,No,0.155689265225421,0.283403870055119,No,1211.52936944795,1601.67899737477,254.044429522612,227.144839572342
TNFRSF25,0.0907207036330415,0.638290662798847,No,-0.185983436899163,0.455834990979545,No,478.214381923447,448.547858855417,76.2416828806867,87.3006955047615
PLEKHG5,-0.0939644194462807,0.585506024576742,No,0.147735188627892,0.429057925886156,No,583.243164368882,623.836591239402,261.82370850929,234.664536368816
NOL9,0.635361944244207,1.69029485022127e-23,No,0.723896227895268,2.97032339195441e-24,No,3045.98074707688,1955.6988653502,1695.53365334587,1019.55133103898
ZBTB48,0.0201804634910005,0.917510477368315,No,-0.155615395967701,0.321076143390201,No,782.595854967477,771.792749193903,371.741889964471,413.867687351041
KLHL21,1.66582431746978,5.14518846230095e-238,Up,1.90172161286149,3.3441744280968e-248,Up,8274.35734492657,2594.29015089333,5011.45939446144,1327.82403418676
PHF13,0.0176893258005609,0.856213591168968,No,0.192681584823013,0.0135026557407,No,1822.50036009449,1800.63038319283,1127.58927643259,983.432000163307
THAP3,0.572525032219522,1.26215114687173e-08,No,0.50425627179536,1.71979025904397e-05,No,836.668088406675,559.637483553865,478.364790352445,336.519934254547
DNAJC11,-0.193060080850525,7.54704850145642e-06,No,-0.0729589443468515,0.185972427355753,No,6005.62277398288,6869.64439157253,3130.54830872032,3295.43342366171
CAMTA1,-0.0580914713195183,0.657881978319808,No,-0.151835196377436,0.193896056672283,No,848.270668099471,884.004156278339,664.833326685136,742.173531783441
VAMP3,-0.0247826494534005,0.80112183358333,No,0.0229256491201144,0.813113424721451,No,1454.61409070233,1480.1699356884,1496.18065693233,1471.78355536763
PER3,0.129617968907729,0.115440047400127,No,0.0241871781946793,0.829588624659981,No,2325.42422298886,2124.14086234536,1374.22616156338,1348.38678506958
TNFRSF9,0.524382218523583,0.250429614175386,No,0.774491170366272,0.0720535590829926,No,14.204854279782,7.03724004528246,19.1165375421564,7.0691290707846
PARK7,-0.428370536638164,3.22010954369656e-09,No,-0.621284003087041,5.53611893319763e-18,No,3371.53931318788,4548.91065273627,3182.49873385139,4917.58108358763
ERRFI1,3.05246465315952,7.15057252325293e-100,Up,2.43307732014446,4.35922890874418e-77,Up,759.474684011351,83.5437470220901,936.659703747696,165.418790867332
RERE,-0.25978517754058,0.00216700092218728,No,-0.0227309074070566,0.848236710107249,No,1305.27876378621,1566.84711789782,1400.90682664234,1419.67564304197
ENO1,-0.284580784163073,1.60210962435836e-10,No,-0.246931635122697,3.90175897198244e-08,No,42411.2578450704,51692.6498835573,44975.0126849677,53406.7598427592
SLC2A5,0.11285315759011,0.849843742707991,No,0.671072660126851,0.126193033735712,No,6.69361285834389,5.31605334256701,22.6069824241823,10.1727409188197
GPR157,-0.71842801233822,2.11181317545909e-05,No,-0.25507645215389,0.19354071312292,No,133.962176897296,225.938315925019,173.722772434683,209.907811587982
H6PD,-0.736829977631358,7.26999959349649e-05,No,-0.996210771666365,6.47868030124536e-08,No,119.457314814141,205.763022334108,134.471717798998,281.885452883887
SPSB1,0.563098359884001,0.000935312422289937,No,0.955466251257168,8.67933901015857e-09,No,230.434674498089,152.817323351088,313.960852979559,157.28989145242
SLC25A33,-0.319971224229216,0.000659285989854258,No,-0.376956244631363,9.5187299685248e-05,No,928.37166560673,1162.75025323792,826.885445032137,1080.93676224703
TMEM201,0.198423504424239,0.00666225634904758,No,0.444085253105955,3.44810507472213e-10,No,1526.92062366116,1329.14575773915,1738.8386154419,1276.3687743405
PIK3CD,-0.696941818775792,0.000509194533171174,No,-0.396858572230662,0.0693138252390403,No,97.9938938812961,164.489812826742,124.881633641432,167.639990727519
CLSTN1,-0.402006538449101,2.93431856060253e-11,No,-0.309568046867028,1.08075865070485e-06,No,2259.76326056934,2991.99034046973,2255.33266112941,2800.02019865327
CTNNBIP1,-1.03217938462892,2.51038992320975e-10,Down,-1.36883327991295,2.74961832274828e-16,Down,163.729697491442,346.82255358761,147.563941131297,402.882825687229
LZIC,-0.525538827504433,1.9185353313964e-05,No,-0.846682924132624,5.77289914660402e-12,No,603.49179003972,877.35800398332,488.856331873477,894.463933290942
NMNAT1,0.454338496563766,0.0410703464005564,No,0.0780699138348022,0.783071047257401,No,247.909975128424,176.533572238549,307.708384703881,290.9766333594
UBE4B,-0.0884336616014278,0.291655258455664,No,0.0288897607253462,0.783071047257401,No,2268.88870211683,2413.41698724676,1572.13375965756,1543.33424830887
KIF1B,-0.0345250389820288,0.707553360864247,No,0.114039619212229,0.131892350419003,No,3198.8449457119,3277.03932387487,3434.29169799442,3169.97891823229
PGD,0.38780409499057,5.21333621287665e-22,No,0.430491050663184,2.96202997630337e-25,No,7396.32877346026,5647.38087352218,6802.45804092009,5048.04052298983
DFFA,-0.533045268455356,1.96461836101394e-21,No,-0.605199350248082,4.50842224850529e-25,No,1970.60707682947,2857.1252415989,1793.34242930712,2737.53746885824
PEX14,0.372651722137603,3.86570754638853e-05,No,0.355236220874152,0.000183970457616276,No,977.972531734867,752.90077932176,953.256492563292,743.519145785029
CASZ1,-0.619479431499611,0.0201331772008767,No,-0.621233673039158,0.018935864615329,No,56.7896474822381,92.7083679565897,74.5098829983887,120.481031117725
TARDBP,-0.366600387627897,6.57314069400684e-18,No,-0.374942967534691,5.84221768328416e-18,No,5414.39913069593,6985.08246757258,5382.17725529643,6990.66505835933
SRM,-0.547867943358619,7.88172158845681e-23,No,-0.385972779841051,1.90864217187167e-11,No,2819.4746992811,4130.25550029773,3154.18186875452,4131.16132919718
EXOSC10,0.50919329247224,3.16858183599627e-25,No,0.715611345929985,4.87388451750561e-46,No,4398.59241081862,3085.32517665376,4538.45994022329,2755.73057788598
MTOR,-0.0622301349600704,0.489182128738978,No,0.085872140470163,0.321201456514786,No,3182.91091621584,3325.66951302305,3006.87236753159,2830.10710983258
UBIAD1,0.158697537359991,0.134022761295881,No,-0.0258249054592649,0.850490095812165,No,1140.5588430784,1020.27012611826,983.307833729729,1005.85890182345
FBXO2,0.0354652753980411,0.898142229633251,No,0.109133909784404,0.62069367350881,No,142.321921134094,138.462934517533,220.631054346051,204.140451076506
FBXO44,0.1909975196542,0.189973813625687,No,0.153613815484203,0.298552922131244,No,405.096795256212,353.597446225984,516.546359244488,460.810546725254
FBXO6,-0.0526339850636627,0.872410130173509,No,-0.424900775952388,0.0733331607745941,No,121.860294485392,126.80379693205,129.41796317553,177.511909090191
MAD2L2,-0.587549348558982,9.04198841739443e-14,No,-0.654432844730507,6.21388484729834e-16,No,1005.50782075054,1517.82235596069,1000.27562566499,1585.0167930111
DRAXIN,-0.21229947991781,0.511953120290711,No,0.0950802234848524,0.792533672778914,No,71.6266675652101,84.6723007916157,83.8404767567321,77.5680865485758
AGTRAP,-0.378915785709537,0.00145931375562178,No,-0.435029442338875,0.000519553086754077,No,390.316742349394,510.596323437172,342.787423403554,467.843131696903
MTHFR,-0.761016235279027,1.2932496975283e-06,No,-0.799418331508799,7.62577785269393e-07,No,197.601925594451,342.858882680256,204.849658003451,363.472761797679
CLCN6,-0.303976457630533,0.0214969711276573,No,-0.02805656072969,0.877976128929038,No,488.073375379965,606.060614884554,500.963019043953,509.944956005135
NPPA-AS1,-1.49244032369916,0.000124695692374385,Down,-0.413767957171888,0.370856710773579,No,7.55924122248929,45.2817877722712,16.6428603052622,26.2682063861653
KIAA2013,-0.095451964504328,0.167967621202581,No,-0.0563490700373011,0.473459079990425,No,1912.39979107071,2043.50560332345,1767.81328703151,1836.64347208833
PLOD1,-0.403830167970422,2.93357132741758e-12,No,-0.326156967403413,4.24651827540402e-07,No,2335.74972142128,3094.71783046751,1564.27639939124,1962.15695627344
MFN2,-0.293195576854349,3.67929158851038e-10,No,-0.425709902425892,2.27616452867621e-19,No,4080.97460962278,5005.06299953402,3841.18873072039,5165.43740937424
MIIP,0.0225336516099886,0.884561962100411,No,0.175484136093423,0.146565430721766,No,801.913007870843,789.51819635154,673.329885316593,594.270949090474
TNFRSF1B,0.612945185724846,0.174648770151102,No,-0.607336812168621,0.174554770338271,No,8.72899930200683,2.36055760974228,11.7274105848671,24.3060855069722
SNORA70,0.455344078260059,0.100175554748694,No,0.883755901007216,0.000186521492423951,No,65.6434929621102,45.4951190644965,151.654838605704,77.7730486851463
